Area Identifier,Area Name,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2004; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2005; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2006; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2007; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2008; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2009; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2010; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2011; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2012; measure type = Count,Qualifications of working age adults: Qualification = Degree Level; Reference Period = 2013; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2002; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2003; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2004; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2005; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2006; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2007; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2008; measure type = Count,Scottish Drug Misuse Database: Age = All; Drug = Cannabis; Gender = All; Reference Period = 2009; measure type = Count
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,29400,29600,30800,37600,40600,43200,44400,42100,44100,48400,71,167,262,176,175,90,150,142
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,25700,28300,25500,26900,28600,29600,34600,39000,42000,38600,112,128,161,122,131,95,84,87
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,8600,9400,9800,10000,11500,13200,14200,15400,13400,12700,19,15,55,29,41,48,92,59
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,7500,7200,7900,8700,10800,11200,11300,11300,11500,11700,30,52,58,57,89,53,41,51
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,97100,104700,110400,108900,114000,112300,123500,136900,154600,146300,593,417,617,665,579,337,362,359
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,3000,4100,4100,4400,5600,5600,5700,7700,6700,6500,19,10,21,7,21,22,22,27
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,9200,11800,12100,12400,13800,14900,14400,12000,14600,14900,53,56,51,59,84,95,89,69
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,14400,13500,16000,18800,17900,19900,18500,18900,24500,25100,80,88,127,106,115,93,188,244
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,6800,7400,8000,8400,10000,9400,10100,9100,12000,12200,60,100,72,79,113,95,58,74
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,17200,17600,18500,19600,20900,19400,20600,22300,22600,23600,15,22,31,17,29,9,25,32
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,9400,10900,11800,11700,10700,11700,11800,13200,15500,16200,95,112,112,122,101,97,82,61
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,13400,15400,15700,17800,16900,17700,17800,16900,17900,17400,26,35,19,16,20,21,22,28
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,11300,12200,11600,12000,13500,14500,15400,15800,16200,15900,24,32,45,48,55,38,38,35
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,27500,29200,39100,38100,35800,40400,43000,41300,50400,51700,261,291,405,424,597,416,426,202
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,71400,73200,78500,86200,88100,90900,97100,115300,113900,124300,473,468,679,661,628,485,370,298
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,16300,18700,18900,20800,22000,27500,26500,26800,25000,28900,86,84,120,256,243,165,92,76
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,6000,6800,6200,6100,6500,7800,8100,7500,8100,9300,99,85,78,104,122,99,78,110
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,6200,5600,7000,6100,7100,8200,8300,7800,9500,9400,75,111,102,160,90,73,43,46
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,5100,6100,6700,6700,7800,7200,7200,8200,8700,9100,38,24,39,50,50,29,33,43
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,1800,1800,1800,2500,2300,2800,2800,3500,3400,3600,2,4,3,18,14,,,11
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,8800,10700,9500,9500,10500,10000,10600,10600,9600,10200,54,189,149,124,118,104,78,70
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,20200,22700,25100,25800,28100,28000,26800,26900,27500,31400,83,67,87,198,178,105,79,97
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,1700,1700,1600,1800,2000,2100,2100,1800,1200,2000,3,3,14,7,3,,,
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,14900,17400,19000,18100,19600,18800,18300,21500,22600,23300,37,39,29,19,31,26,38,48
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,13500,15000,19000,19700,19400,21200,19800,25100,27000,27600,88,76,70,113,89,51,65,65
