Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000001,S01000001,117550,206049,179000,245000,114000,251249,155556,300000,115000,193021,135000,235000,112750,178596,122750,170062
http://statistics.gov.scot/id/statistical-geography/S01000002,S01000002,170000,200457,198000,228000,160000,196728,193500,245000,169000,192967,185000,210000,157500,172551,172000,178000
http://statistics.gov.scot/id/statistical-geography/S01000003,S01000003,115000,163814,180000,200000,104000,141432,143000,175000,104159,145132,114400,185000,105000,150952,145000,175000
http://statistics.gov.scot/id/statistical-geography/S01000004,S01000004,145000,199284,235000,250000,142000,181857,163500,222000,116250,161570,145500,191500,140000,187357,180000,250000
http://statistics.gov.scot/id/statistical-geography/S01000005,S01000005,121667,160944,152500,166500,115000,167748,150000,230000,110000,135107,122000,132000,120000,166050,152000,170260
http://statistics.gov.scot/id/statistical-geography/S01000006,S01000006,137500,206875,157500,232500,98000,176230,147500,215000,110000,192075,161000,225000,103925,231114,227425,358303
http://statistics.gov.scot/id/statistical-geography/S01000007,S01000007,155000,227736,245000,270000,123250,234730,237000,250000,237500,351769,286599,373500,228807,253653,242500,278500
http://statistics.gov.scot/id/statistical-geography/S01000008,S01000008,127000,168273,130000,200000,135000,151389,162000,178000,122000,154083,130750,176500,102500,140550,138500,163000
http://statistics.gov.scot/id/statistical-geography/S01000009,S01000009,152500,190388,179550,241000,112000,174479,187000,220000,100000,193313,204000,240000,148000,165325,151777,210000
http://statistics.gov.scot/id/statistical-geography/S01000010,S01000010,110000,133000,125000,161000,171129,201348,202000,230000,125000,161200,169000,177000,100000,122154,106000,155000
http://statistics.gov.scot/id/statistical-geography/S01000011,S01000011,276000,435167,324500,705000,316000,381923,330000,470000,370000,446101,375000,400504,270000,384000,345000,417000
http://statistics.gov.scot/id/statistical-geography/S01000012,S01000012,222500,256281,263750,283500,245000,326353,286000,459500,250000,274183,287000,315000,230000,252601,250000,277000
http://statistics.gov.scot/id/statistical-geography/S01000013,S01000013,126000,247182,237500,423000,130000,184516,159064,211500,135000,177732,140000,191050,148000,218000,173500,320000
http://statistics.gov.scot/id/statistical-geography/S01000014,S01000014,143500,193318,200000,235000,127500,188167,172500,232500,165000,178808,170000,190000,133000,150844,137500,165000
http://statistics.gov.scot/id/statistical-geography/S01000015,S01000015,105250,142428,145750,162500,112000,144650,150000,178000,107519,148786,147077,180500,87500,137500,140000,175000
http://statistics.gov.scot/id/statistical-geography/S01000016,S01000016,370000,708333,780000,975000,250000,485000,485000,720000,142750,283944,349500,425389,355000,524472,540000,670000
