Area Identifier,Area Name,Ante-Natal Smoking: Population Group = Never Smoked; Reference Period = 2011-2013; measure type = Ratio,Ante-Natal Smoking: Population Group = Former Smoker; Reference Period = 2011-2013; measure type = Ratio,Ante-Natal Smoking: Population Group = Current Smoker; Reference Period = 2011-2013; measure type = Ratio,Age of First Time Mothers: Age = 19 And Under; Reference Period = 2010/11-2012/13; measure type = Ratio,Age of First Time Mothers: Age = 35 And Over; Reference Period = 2010/11-2012/13; measure type = Ratio,Breastfeeding: Breastfeeding Data Collection Time = 6 To 8 Week Review; Population Group = Breastfed; Reference Period = 2012; measure type = Ratio,Breastfeeding: Breastfeeding Data Collection Time = 6 To 8 Week Review; Population Group = Exclusively Breastfed; Reference Period = 2012; measure type = Ratio,Breastfeeding: Breastfeeding Data Collection Time = First Visit; Population Group = Breastfed; Reference Period = 2012; measure type = Ratio,Breastfeeding: Breastfeeding Data Collection Time = First Visit; Population Group = Exclusively Breastfed; Reference Period = 2012; measure type = Ratio,DTP/Pol/Hib Immunisation: Indicator (DTP/Pol/Hib uptake) = Percentage Vaccinated Against DTP/Pol/Hib By 24 Months; Reference Period = 2012; measure type = Ratio,Disability Living Allowance: Age = All; Gender = All; Reference Period = 2012-Q1; measure type = Ratio,Disability Living Allowance: Age = All; Gender = All; Reference Period = 2012-Q2; measure type = Ratio,Disability Living Allowance: Age = All; Gender = All; Reference Period = 2012-Q3; measure type = Ratio,Disability Living Allowance: Age = All; Gender = All; Reference Period = 2012-Q4; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band A; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band B; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band C; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band D; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band E; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band F; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band G; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Band H; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Bands A-C; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Bands D-E; Reference Period = 2012; measure type = Ratio,Dwellings by Council Tax Band: Council Tax Band = Bands F-H; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 1; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 2; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 3; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 4; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 5; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 6; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 7; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 8; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 9; Reference Period = 2012; measure type = Ratio,Dwellings by Number of Rooms: Number Of Rooms = 10+; Reference Period = 2012; measure type = Ratio,Dwellings by Type: Reference Period = 2012; Type Of Dwelling = Detached; measure type = Ratio,Dwellings by Type: Reference Period = 2012; Type Of Dwelling = Flats; measure type = Ratio,Dwellings by Type: Reference Period = 2012; Type Of Dwelling = Semi-Detached; measure type = Ratio,Dwellings by Type: Reference Period = 2012; Type Of Dwelling = Terraced; measure type = Ratio,Dwellings per Hectare: Reference Period = 2012; measure type = Ratio,"Fire: Indicator (fire) = Accidental Dwelling Fires Per 100,000 Population; Reference Period = 2012; measure type = Ratio","Fire: Indicator (fire) = Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population; Reference Period = 2012; measure type = Ratio",Employment and Support Allowance: Age = All; Benefit Claimed = Employment Support Allowance; Ethnicity = All; Gender = All; Reference Period = 2012-Q1; measure type = Ratio,Employment and Support Allowance: Age = All; Benefit Claimed = Employment Support Allowance; Ethnicity = All; Gender = All; Reference Period = 2012-Q2; measure type = Ratio,Employment and Support Allowance: Age = All; Benefit Claimed = Employment Support Allowance; Ethnicity = All; Gender = All; Reference Period = 2012-Q3; measure type = Ratio,Employment and Support Allowance: Age = All; Benefit Claimed = Employment Support Allowance; Ethnicity = All; Gender = All; Reference Period = 2012-Q4; measure type = Ratio
http://statistics.gov.scot/id/statistical-geography/S01000001,S01000001,83.33,11.11,2.78,0,18.75,50,16.7,75,75,100,4347.8,4347.8,4347.8,4347.8,4.8,28.9,10.6,12.7,18.4,9.1,13.2,13.2,44.3,31.1,24.6,4,17,38,9,12,9,6,2,2,1,26,58,11,5,1.04,106.7,0,0.8,1.6,0.8,1.6
http://statistics.gov.scot/id/statistical-geography/S01000002,S01000002,81.82,15.15,3.03,0,23.53,35.7,28.6,57.1,28.6,100,2325.6,3100.8,3100.8,2325.6,0.0,0.0,0.0,63.9,28.6,7.4,0.0,0.0,0.0,92.6,7.4,0,0,23,47,23,6,2,0,0,0,25,0,52,23,8.71,0,0,0,2.3,2.3,1.1
http://statistics.gov.scot/id/statistical-geography/S01000003,S01000003,81.25,9.38,9.38,4.76,4.76,53.8,30.8,61.5,46.2,100,1219.5,1829.3,1219.5,609.8,17.1,11.8,1.5,31.2,31.8,6.8,0.0,0.0,30.3,62.9,6.8,0,29,16,14,28,9,4,1,0,0,23,14,50,13,24.23,253.8,0,0.8,0.8,0.8,0.8
http://statistics.gov.scot/id/statistical-geography/S01000004,S01000004,88,8,4,0,0,60,20,66.7,33.3,100,1618.1,1618.1,1618.1,1618.1,0.0,15.2,3.0,28.0,21.2,31.1,1.5,1.5,18.2,49.2,32.6,0,18,24,15,25,14,2,1,0,0,50,20,17,13,13.21,0,327.3,0,0,0,0
http://statistics.gov.scot/id/statistical-geography/S01000005,S01000005,88.89,3.7,7.41,0,35.71,100,71.4,100,88.9,100,2525.3,2525.3,2525.3,2525.3,2.9,33.1,28.4,11.7,8.5,7.3,7.9,7.9,64.5,20.2,15.2,0,14,49,15,9,8,3,1,1,0,13,74,3,11,21.3,0,0,1.1,1.1,1.1,1.1
http://statistics.gov.scot/id/statistical-geography/S01000006,S01000006,60,10,30,0,33.33,75,50,75,50,100,5636.1,7246.4,7246.4,7246.4,8.7,27.8,37.2,9.1,5.8,4.9,6.5,6.5,73.8,14.9,11.3,4,20,27,25,13,5,4,2,0,0,12,41,35,11,17.12,0,0,2.9,4.3,4.3,5.7
http://statistics.gov.scot/id/statistical-geography/S01000007,S01000007,100,0,0,0,60,100,50,100,100,100,4315.7,4315.7,4315.7,4315.7,5.1,4.6,8.8,14.5,30.2,20.2,15.1,15.1,18.5,44.7,36.8,0,10,12,13,30,19,9,4,2,1,28,3,62,7,9.11,123,123,1.1,0,1.1,0
http://statistics.gov.scot/id/statistical-geography/S01000008,S01000008,52.94,23.53,23.53,11.11,0,42.9,28.6,66.7,50,100,4562,5474.5,5474.5,5474.5,0.0,41.1,36.9,8.2,7.8,3.9,2.1,2.1,78.0,16.0,6.0,0,15,37,25,18,3,2,0,1,0,9,31,26,34,28.66,344.2,0,2.8,2.8,2.8,4.2
http://statistics.gov.scot/id/statistical-geography/S01000009,S01000009,68.18,13.64,18.18,8.33,25,50,50,66.7,50,100,4437.9,4437.9,4437.9,4437.9,8.9,20.5,19.8,14.2,32.7,3.0,1.0,1.0,49.2,46.9,4.0,0,16,19,21,28,12,3,0,0,0,37,4,25,34,17.15,0,0,2.2,2.2,1.1,2.2
http://statistics.gov.scot/id/statistical-geography/S01000010,S01000010,66.67,22.22,11.11,14.29,28.57,0,0,66.7,33.3,100,3831.4,3831.4,3831.4,3831.4,12.0,13.1,5.6,40.2,14.3,8.4,6.4,6.4,30.7,54.6,14.7,0,25,25,14,20,9,6,1,0,0,34,6,52,7,16.96,0,0,0,0,1.3,1.3
http://statistics.gov.scot/id/statistical-geography/S01000011,S01000011,93.75,0,0,0,16.67,80,40,100,80,75,460.8,460.8,460.8,921.7,0.3,0.0,1.0,2.6,7.2,25.6,41.0,41.0,1.3,9.8,88.9,3,0,5,1,17,18,20,20,10,7,84,2,14,0,2.51,0,0,0,0,0,0.7
http://statistics.gov.scot/id/statistical-geography/S01000012,S01000012,91.67,6.67,1.67,4.35,13.04,34.8,30.4,43.5,34.8,92.6,2814.9,3166.8,3166.8,3166.8,0.2,0.0,2.6,11.9,36.5,40.2,8.6,8.6,2.8,48.4,48.8,0,0,5,19,30,23,14,6,2,1,75,0,23,1,1.05,131.5,394.5,0.5,0.5,0.5,1.1
http://statistics.gov.scot/id/statistical-geography/S01000013,S01000013,56,8,36,0,8.33,55.6,33.3,50,50,100,2547.8,2547.8,2547.8,3184.7,0.0,34.6,33.2,4.9,5.5,3.6,18.1,18.1,67.9,10.4,21.7,0,8,21,27,26,4,7,5,1,0,22,20,14,45,15.28,0,0,1,1.9,1.9,2.9
