Area Identifier,Area Name,Pension Credits: Age = 60 And Over; Gender = All; Pension Credit Element = All; Reference Period = 2012-Q1; measure type = Ratio,Pension Credits: Age = 60 And Over; Gender = All; Pension Credit Element = All; Reference Period = 2012-Q2; measure type = Ratio,Pension Credits: Age = 60 And Over; Gender = All; Pension Credit Element = All; Reference Period = 2012-Q3; measure type = Ratio,Pension Credits: Age = 60 And Over; Gender = All; Pension Credit Element = All; Reference Period = 2012-Q4; measure type = Ratio,Population living in close proximity to a derelict site: Reference Period = 2012; Type Of Derelict Site = All; measure type = Ratio,Population living in close proximity to a derelict site: Reference Period = 2012; Type Of Derelict Site = Pre 1991; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 7 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 7 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 7 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = All; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Female; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment: Gender = Male; Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 1; Reference Period = 2012/2013; SCQF Level = 7 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 3; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 3 And Above; Secondary School Stage = S4; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 4 And Above; Secondary School Stage = S4; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 5 And Above; Secondary School Stage = S4; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S5; measure type = Ratio,Pupil Attainment (Additional Support Needs): Number Of Awards = 5; Reference Period = 2012/2013; SCQF Level = 6 And Above; Secondary School Stage = S6; measure type = Ratio,Pupil Attainment (English and Maths): Gender = All; Population Group = All; Reference Period = 2012/2013; Secondary School Stage = S4; measure type = Ratio
http://statistics.gov.scot/id/statistical-geography/S01000001,S01000001,11.2,8.4,8.4,8.4,93.1,93.1,83.3,42.9,100,50,66.7,33.3,50,71.4,83.3,75,16.7,66.7,25,42.9,50,50,0,33.3,0,0,0,100,100,100,75,0,0,100
http://statistics.gov.scot/id/statistical-geography/S01000002,S01000002,0,0,0,0,0.0,0.0,33.3,25,33.3,33.3,,0,33.3,50,33.3,66.7,,0,33.3,50,33.3,66.7,,0,0,,0,,50,50,0,0,,100
http://statistics.gov.scot/id/statistical-geography/S01000003,S01000003,13.5,13.5,13.5,6.8,0.0,0.0,71.4,80,100,100,0,50,42.9,80,60,100,0,50,14.3,80,20,100,0,50,50,,0,,,,,0,,100
http://statistics.gov.scot/id/statistical-geography/S01000004,S01000004,0,0,0,0,0.0,0.0,60,20,50,0,62.5,100,20,40,0,25,25,100,10,40,0,25,12.5,100,0,,0,,,,,0,,100
http://statistics.gov.scot/id/statistical-geography/S01000005,S01000005,5.7,11.4,5.7,0,90.7,90.7,66.7,0,66.7,0,,0,33.3,100,33.3,100,,100,0,100,0,100,,100,,,,,100,100,100,,,100
http://statistics.gov.scot/id/statistical-geography/S01000006,S01000006,14.9,14.9,14.9,12.4,21.3,21.3,66.7,33.3,,0,66.7,50,66.7,66.7,,100,66.7,50,33.3,66.7,,100,33.3,50,,,,,100,100,50,,,100
http://statistics.gov.scot/id/statistical-geography/S01000007,S01000007,5.2,5.2,7,7,3.2,3.2,88.9,42.9,100,66.7,87.5,25,66.7,85.7,100,100,62.5,75,22.2,57.1,100,66.7,12.5,50,50,0,0,0,100,50,50,0,0,100
http://statistics.gov.scot/id/statistical-geography/S01000008,S01000008,10.2,6.8,6.8,6.8,33.3,33.3,75,0,100,0,50,,25,100,50,100,0,,25,100,50,100,0,,,,,,100,100,100,,,100
http://statistics.gov.scot/id/statistical-geography/S01000009,S01000009,11.1,11.1,8.3,11.1,0.0,0.0,60,40,100,33.3,50,50,60,60,100,66.7,50,50,0,40,0,33.3,0,50,0,0,0,50,,,,0,0,100
http://statistics.gov.scot/id/statistical-geography/S01000010,S01000010,3.5,7,7,7,0.0,0.0,,0,,,,0,,50,,,,50,,0,,,,0,,,,,,,,,,100
http://statistics.gov.scot/id/statistical-geography/S01000011,S01000011,2.5,2.5,2.5,2.5,12.0,12.0,81.8,88.9,85.7,66.7,75,100,54.5,100,71.4,100,25,100,54.5,100,71.4,100,25,100,,100,,100,,,,,100,100
http://statistics.gov.scot/id/statistical-geography/S01000012,S01000012,2.1,2.1,4.3,4.3,0.0,0.0,56.2,22.2,83.3,0,40,28.6,31.2,77.8,66.7,100,10,71.4,6.2,44.4,16.7,0,0,57.1,100,,33.3,,50,25,0,0,,89.7
http://statistics.gov.scot/id/statistical-geography/S01000013,S01000013,10.6,8.5,8.5,8.5,61.6,61.6,50,42.9,42.9,50,66.7,40,30,85.7,28.6,100,33.3,80,0,71.4,0,50,0,80,,50,,50,100,100,0,,50,91.7
http://statistics.gov.scot/id/statistical-geography/S01000014,S01000014,5.3,2.7,2.7,2.7,0.0,0.0,55.6,33.3,66.7,0,33.3,50,22.2,66.7,16.7,100,33.3,50,0,33.3,0,0,0,50,,0,,0,66.7,33.3,0,,0,66.7
http://statistics.gov.scot/id/statistical-geography/S01000015,S01000015,10,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,50,50,0,,,100
http://statistics.gov.scot/id/statistical-geography/S01000016,S01000016,3.9,3.9,3.9,0,21.4,21.4,100,100,100,100,100,100,71.4,100,100,100,60,100,71.4,100,100,100,60,100,100,,0,,,,,0,,100
http://statistics.gov.scot/id/statistical-geography/S01000017,S01000017,9.6,9.6,9.6,9.6,0.0,0.0,60,0,75,0,0,0,60,100,75,100,0,100,20,50,25,100,0,0,50,0,50,100,100,0,0,50,0,100
http://statistics.gov.scot/id/statistical-geography/S01000018,S01000018,4,4,4,4,0.0,0.0,100,0,100,0,,,50,0,50,0,,,0,0,0,0,,,,,,,100,0,0,,,100
http://statistics.gov.scot/id/statistical-geography/S01000019,S01000019,7.8,7.8,7.8,7.8,0.0,0.0,83.3,37.5,80,20,100,66.7,66.7,87.5,60,100,100,66.7,66.7,62.5,60,60,100,66.7,100,0,100,100,,,,100,0,100
http://statistics.gov.scot/id/statistical-geography/S01000020,S01000020,13.2,13.2,14.8,14.8,66.0,15.6,100,66.7,100,50,100,100,71.4,100,50,100,80,100,71.4,100,50,100,80,100,,,,,,,,,,100
http://statistics.gov.scot/id/statistical-geography/S01000021,S01000021,13,13,10.4,10.4,1.1,1.1,20,33.3,25,100,0,0,20,33.3,25,100,0,0,0,33.3,0,100,0,0,,0,,0,,,,,0,100
